feature_id	D39_lac_1	D39_lac_2	D39_lac_3	D39_lac_4	D39_lac_5	D39_lac_6	D39_LNnT_7	D39_LNnT_8	D39_LNnT_9	D39_LNnT_10	D39_LNnT_11	D39_LNnT_12	D39_6SL_13	D39_6SL_14	D39_6SL_15	D39_6SL_16	D39_6SL_17	D39_6SL_18
SPV_0074	7.80126626708646	7.767629937873162	7.790518286328061	7.820597708337065	7.685884854299977	7.736283366333756	7.447383814398388	7.574570298825927	7.531689921575861	6.841275145730752	6.736532030470989	6.845146153155623	7.195646181078505	7.221106149870977	7.276923266996582	6.6816353485827	6.493375035988058	6.3650625228318685
SPV_2091	-0.4608626807468273	-1.492685098706041	-0.6490998459014171	-0.6555899512174717	-0.28048075399011246	-1.7015902979806938	0.054283798182261964	-0.5662716076448334	-0.47923027321042655	-0.2546751913138356	-0.7093455862398279	-0.06485495156086156	-0.90783007025942	-0.8475597424790997	-2.3453819270035448	-0.6739976024205026	-1.0438177913337237	-0.6567212447139429
SPV_0076	8.385080168819776	8.352738696078285	8.366210969139381	9.189508378372798	9.21662586632379	9.015329378809833	8.507888200684006	8.543903495810849	8.477521031402443	8.026496396825651	7.914176555075961	7.832302262034885	8.688681705131687	8.585306220010422	8.741410242122171	8.253892329600767	8.271917717198374	8.19974123047181
SPV_0077	7.849998302669763	7.806868363445009	7.769478397024016	8.370196948077066	8.397908569832957	8.186601718936783	7.407432519188602	7.432549011384009	7.377328928996397	6.919411605014942	6.849356552387586	6.737717619641478	7.722736368683371	7.564070966316336	7.821348817087032	7.201205951985686	7.130237898321117	7.0455514848712495
SPV_2463	4.274340799383549	4.061214484192405	4.324422461062625	4.652418857678005	4.385143616062116	4.550952805625508	4.4783962835005475	4.684401635656085	4.844090042585129	4.431490186738625	4.470091772811163	4.471866385444041	5.301350546991347	5.03485826347621	5.325799588238313	4.217783247524825	4.4478071113228435	4.338111909760064
SPV_0080	4.495193014838339	4.341797292526121	4.421684196506542	5.564057445071979	5.649051568011942	6.038179819649525	4.996586120977173	4.412038352784293	4.671073023187561	4.22759397681978	4.716990563479488	4.82498970683298	3.580691385822597	3.6296345326675556	3.838078942535981	4.112550851330339	3.9511519626588107	3.755806389491815
SPV_0081	7.997476045399864	7.9818874509088324	8.021168575286405	7.472698413545248	7.477183995237068	7.483985898639709	8.022611776312125	7.894537379436063	7.834508884893792	7.5708617440411725	7.6933905630220165	7.690259814199455	7.82513430922338	7.746057210246294	7.846452627439161	7.5973618556080735	7.671984369738471	7.633042074239463
SPV_0082	7.997476045399864	8.011065422198392	7.965329007513332	7.746118630786739	7.691986514282396	7.659895770996971	8.24764209089177	8.162958371248276	8.149802515732484	8.135491231932145	8.213649573048583	8.20552192679254	8.23241924919936	8.302554225378083	8.355241154345443	8.120975435504585	8.295041075440306	8.126861740623996
SPV_2464	-2.7905017595468378	-2.7905017595468378	-2.7905017595468404	-2.7905017595468404	-2.7905017595468378	-2.7905017595468404	-2.7905017595468404	-2.790501759546843	-2.790501759546843	-2.7905017595468378	-2.7905017595468404	-2.7905017595468404	-2.790501759546843	-2.7905017595468404	-2.7905017595468404	-2.7905017595468378	-2.790501759546843	-2.7905017595468378
SPV_0083	11.253671045552695	11.210298076316187	11.185093218753495	11.057779434592133	11.06564948261368	10.91778449421904	10.0024483697115	10.033898225342327	10.096635406241914	9.8687658713125	9.720286362094688	9.651309694351347	10.462782239362877	10.420412021523832	10.554994620479127	9.585859366751656	9.704766298969252	9.732721626996032
SPV_0086	5.484323681079168	5.459235474728357	5.354415740914405	5.698166084622677	5.514747903373641	5.765375304398228	6.396806441094735	6.057147485891013	6.183929245554411	6.103194195891219	6.050221652575339	5.945235267081493	6.277187895619407	6.255877276564636	6.2157587141695	6.7037335622346195	6.899399821113988	6.847664438286607
SPV_0087	6.0403518285792	5.942318575939558	5.926024111330723	6.270838522903876	6.306955248680793	6.431699786949674	6.7915285534681855	6.631442466726854	6.835422135912869	6.7595871316593845	6.845176439083193	6.909050039724696	6.8581518686923095	6.979855138344903	6.716239527315255	7.353607600477844	7.143617574572718	7.231680635637221
SPV_0088	4.648132809044491	4.463967463931859	4.294522034870334	3.0330052269975316	2.644678538517229	3.2863342092988588	5.68061135064163	5.685310466086078	5.734066668534025	6.315343206871098	6.793179226821976	6.78448837461594	7.432817391743084	7.399465810220026	7.30197430831277	7.329711210691163	7.3718261008451265	7.092904876703913
SPV_0089	4.2958750303511835	4.175029149481476	4.093877486044225	2.682600498668715	2.552300528876941	3.262040607287724	5.803706293055684	5.550194529685796	5.730612230586577	6.3780477482809195	6.880735692357542	6.792431597366075	7.428641184703492	7.367940545229664	7.391773582104364	7.360881408843378	7.343875178773511	7.20934499428532
SPV_0090	5.1596497774131675	5.013185119767501	5.1887445594184	3.699315577290107	3.570189414344011	3.972928051943056	7.162422443688678	7.060370237315605	6.937835020889239	7.682240632162073	8.127810495441498	8.044129107039	8.74462626701605	8.781065549136517	8.564994081330548	8.574836951859444	8.6006875395218	8.54279582673078
SPV_0091	10.618095971929828	10.702540563302914	10.711519350878302	10.833034455211159	10.770693281155301	10.545554387088874	10.939315893689269	11.067256671079516	11.03577446594452	9.76723407287846	9.474813845642887	9.522589258572731	11.149374972840455	11.066315734433314	11.188480076791803	9.050355257301511	9.177857462273595	9.200759580181387
SPV_0092	6.02108678317196	5.93984342299185	6.208507552559341	5.6053244116486916	5.477554238066997	5.5389351508910485	6.9342601047846415	7.051737830507593	7.1362476149339935	6.880022943448663	6.8009698011447846	6.89927529965021	6.941280781440992	6.986887508950572	6.876834962312306	6.494801242585396	6.436847734513954	6.349053836541149
SPV_0093	6.724928896418043	6.728995036575423	6.742467465105622	6.808957882614284	6.789101652873457	6.869771679642663	7.369812455381348	7.244186434587623	7.221778988822154	8.01377544032492	8.378334863517164	8.316794675423038	6.521589799148007	6.461705449557363	6.445841858884241	7.977716154411774	8.10234188259299	8.037096411082702
